order_detail_id,order_id,discount,shipping_fee,status
1,1,10,9.3,Pending
2,2,15,7.2,Completed
3,3,20,8.9,Pending
4,4,15,3.11,Pending
5,5,20,10.65,Cancelled
6,6,20,2.39,Pending
7,7,20,13.56,Cancelled
8,8,10,10.87,Shipped
9,9,5,13.59,Completed
10,10,15,2.02,Shipped
11,11,20,14.18,Completed
12,12,20,14.46,Pending
13,13,0,12.35,Cancelled
14,14,0,14.9,Pending
15,15,10,6.62,Completed
16,16,20,13.03,Completed
17,17,15,12.02,Pending
18,18,15,11.37,Completed
19,19,0,10.23,Completed
20,20,0,6,Shipped
21,21,5,8.98,Pending
22,22,20,5.57,Shipped
23,23,20,2.11,Pending
24,24,0,2.32,Shipped
25,25,0,3.88,Cancelled
26,26,0,8.68,Completed
27,27,5,4.89,Completed
28,28,5,6.8,Pending
29,29,5,2.72,Pending
30,30,20,13.85,Pending
31,31,5,13.5,Shipped
32,32,20,13.66,Pending
33,33,0,6.32,Completed
34,34,20,11.27,Pending
35,35,15,7.55,Completed
36,36,10,5.92,Shipped
37,37,0,2.92,Completed
38,38,15,7.48,Cancelled
39,39,10,7.05,Completed
40,40,15,4.09,Cancelled
41,41,10,6.55,Shipped
42,42,10,3.24,Completed
43,43,5,13.32,Shipped
44,44,15,10.68,Shipped
45,45,15,4.51,Cancelled
46,46,0,13.94,Shipped
47,47,20,9.54,Completed
48,48,15,7.93,Cancelled
49,49,15,10.35,Shipped
50,50,0,5.3,Pending
51,51,0,9.16,Cancelled
52,52,5,3.71,Completed
53,53,20,4.61,Completed
54,54,20,8.68,Pending
55,55,5,3.27,Cancelled
56,56,0,13.07,Pending
57,57,0,7.14,Cancelled
58,58,0,5.03,Cancelled
59,59,15,9.61,Pending
60,60,20,11.71,Pending
61,61,20,9.92,Cancelled
62,62,10,9.53,Shipped
63,63,10,4.21,Cancelled
64,64,15,10.92,Completed
65,65,15,14.7,Completed
66,66,20,9.91,Pending
67,67,10,6.27,Cancelled
68,68,5,12.43,Shipped
69,69,0,12.87,Shipped
70,70,20,7.4,Pending
71,71,5,7.4,Pending
72,72,15,14.18,Pending
73,73,0,11.39,Pending
74,74,15,2.43,Shipped
75,75,10,7.54,Completed
76,76,5,3.22,Shipped
77,77,0,14.72,Completed
78,78,0,9.48,Completed
79,79,15,10.37,Completed
80,80,20,6.74,Shipped
81,81,5,10.68,Cancelled
82,82,0,9.43,Pending
83,83,0,12.07,Pending
84,84,10,13.7,Cancelled
85,85,5,7.26,Shipped
86,86,5,13.64,Shipped
87,87,0,2.85,Cancelled
88,88,5,10.91,Completed
89,89,5,5,Shipped
90,90,0,9.01,Completed
91,91,0,12.05,Shipped
92,92,15,11.71,Cancelled
93,93,15,11.38,Pending
94,94,15,8.28,Pending
95,95,15,4.52,Pending
96,96,5,4.67,Shipped
97,97,10,8.96,Cancelled
98,98,0,7.69,Completed
99,99,0,14.67,Pending
100,100,20,5.91,Completed
101,101,10,3.03,Pending
102,102,10,11.45,Completed
103,103,0,14.68,Shipped
104,104,10,12.17,Shipped
105,105,20,5.21,Completed
106,106,5,2.48,Shipped
107,107,15,7.29,Completed
108,108,20,13.41,Shipped
109,109,15,7.62,Shipped
110,110,0,5.69,Completed
111,111,5,14.16,Pending
112,112,20,12.04,Pending
113,113,10,9.94,Cancelled
114,114,5,2.03,Cancelled
115,115,20,14.11,Pending
116,116,5,10.76,Completed
117,117,0,4.92,Cancelled
118,118,10,2.32,Pending
119,119,15,2.1,Shipped
120,120,15,14.06,Pending
121,121,15,11.01,Cancelled
122,122,20,11.17,Shipped
123,123,5,9.75,Pending
124,124,10,8.98,Pending
125,125,10,7.92,Completed
126,126,20,9.8,Shipped
127,127,10,10.5,Shipped
128,128,10,6.85,Shipped
129,129,5,10.69,Pending
130,130,5,7.94,Pending
131,131,5,3.11,Cancelled
132,132,20,5.03,Completed
133,133,20,3.06,Cancelled
134,134,20,6.19,Completed
135,135,10,9.95,Cancelled
136,136,15,6.78,Completed
137,137,10,11.44,Cancelled
138,138,5,10.81,Pending
139,139,15,3.88,Completed
140,140,0,4.18,Shipped
141,141,15,2.84,Completed
142,142,5,5.44,Cancelled
143,143,5,6.53,Pending
144,144,5,3.15,Completed
145,145,5,9.83,Shipped
146,146,0,11.29,Shipped
147,147,15,4.04,Shipped
148,148,0,6.45,Pending
149,149,10,11.45,Shipped
150,150,15,10.62,Completed
